"a","aname","bdate","sexo","f"
"http://dbpedia.org/resource/Al_Pacino","Al Pacino",1940-04-25,"male","http://dbpedia.org/resource/Heat_(1995_film)"
"http://dbpedia.org/resource/Al_Pacino","Al Pacino","1940-4-25","male","http://dbpedia.org/resource/Heat_(1995_film)"
"http://dbpedia.org/resource/Albert_Finney","Albert Finney",1936-05-09,"male","http://dbpedia.org/resource/Miller's_Crossing"
"http://dbpedia.org/resource/Albert_Finney","Albert Finney","1936-5-9","male","http://dbpedia.org/resource/Miller's_Crossing"
"http://dbpedia.org/resource/Albert_Finney","Albert Finney",1936-05-09,"male","http://dbpedia.org/resource/Traffic_(2000_film)"
"http://dbpedia.org/resource/Albert_Finney","Albert Finney","1936-5-9","male","http://dbpedia.org/resource/Traffic_(2000_film)"
"http://dbpedia.org/resource/Andie_MacDowell","Andie MacDowell",1958-04-21,"female","http://dbpedia.org/resource/Green_Card_(film)"
"http://dbpedia.org/resource/Andie_MacDowell","Andie MacDowell","1958-4-21","female","http://dbpedia.org/resource/Green_Card_(film)"
"http://dbpedia.org/resource/Anthony_Quinn","Anthony Quinn",1915-04-21,"male","http://dbpedia.org/resource/Zorba_the_Greek_(film)"
"http://dbpedia.org/resource/Anthony_Quinn","Anthony Quinn","1915-4-21","male","http://dbpedia.org/resource/Zorba_the_Greek_(film)"
"http://dbpedia.org/resource/Anthony_Quinn","Anthony Quinn",1915-04-21,"male","http://dbpedia.org/resource/Back_to_Bataan"
"http://dbpedia.org/resource/Anthony_Quinn","Anthony Quinn","1915-4-21","male","http://dbpedia.org/resource/Back_to_Bataan"
"http://dbpedia.org/resource/Ashley_Judd","Ashley Judd",1968-04-19,"female","http://dbpedia.org/resource/Heat_(1995_film)"
"http://dbpedia.org/resource/Ashley_Judd","Ashley Judd","1968-4-19","female","http://dbpedia.org/resource/Heat_(1995_film)"
"http://dbpedia.org/resource/Ashley_Judd","Ashley Judd",1968-04-19,"female","http://dbpedia.org/resource/Where_the_Heart_Is_(2000_film)"
"http://dbpedia.org/resource/Ashley_Judd","Ashley Judd","1968-4-19","female","http://dbpedia.org/resource/Where_the_Heart_Is_(2000_film)"
"http://dbpedia.org/resource/Ashley_Judd","Ashley Judd",1968-04-19,"female","http://dbpedia.org/resource/Barry_(2016_film)"
"http://dbpedia.org/resource/Ashley_Judd","Ashley Judd","1968-4-19","female","http://dbpedia.org/resource/Barry_(2016_film)"
"http://dbpedia.org/resource/Audrey_Hepburn","Audrey Hepburn","1929-5-4","female","http://dbpedia.org/resource/Breakfast_at_Tiffany's_(film)"
"http://dbpedia.org/resource/Brad_Pitt","Brad Pitt",1963-12-18,"male","http://dbpedia.org/resource/12_Monkeys"
"http://dbpedia.org/resource/Buster_Keaton","Buster Keaton",1895-10-04,"male","http://dbpedia.org/resource/The_Hollywood_Revue_of_1929"
"http://dbpedia.org/resource/Buster_Keaton","Buster Keaton","1895-10-4","male","http://dbpedia.org/resource/The_Hollywood_Revue_of_1929"
"http://dbpedia.org/resource/Cameron_Diaz","Cameron Diaz",1972-08-30,"female","http://dbpedia.org/resource/Vanilla_Sky"
"http://dbpedia.org/resource/Cameron_Diaz","Cameron Diaz","1972-8-30","female","http://dbpedia.org/resource/Vanilla_Sky"
"http://dbpedia.org/resource/Charlton_Heston","Charlton Heston",1923-10-04,"male","http://dbpedia.org/resource/Soylent_Green"
"http://dbpedia.org/resource/Charlton_Heston","Charlton Heston","1923-10-4","male","http://dbpedia.org/resource/Soylent_Green"
"http://dbpedia.org/resource/Charlton_Heston","Charlton Heston",1923-10-04,"male","http://dbpedia.org/resource/The_Big_Country"
"http://dbpedia.org/resource/Charlton_Heston","Charlton Heston","1923-10-4","male","http://dbpedia.org/resource/The_Big_Country"
"http://dbpedia.org/resource/Christopher_Lee","Christopher Lee",1922-05-27,"male","http://dbpedia.org/resource/The_Wicker_Man_(1973_film)"
"http://dbpedia.org/resource/Christopher_Lee","Christopher Lee","1922-5-27","male","http://dbpedia.org/resource/The_Wicker_Man_(1973_film)"
"http://dbpedia.org/resource/Clark_Gable","Clark Gable",1901-02-01,"male","http://dbpedia.org/resource/It_Happened_One_Night"
"http://dbpedia.org/resource/Clark_Gable","Clark Gable","1901-2-1","male","http://dbpedia.org/resource/It_Happened_One_Night"
"http://dbpedia.org/resource/Clark_Gable","Clark Gable",1901-02-01,"male","http://dbpedia.org/resource/San_Francisco_(1936_film)"
"http://dbpedia.org/resource/Clark_Gable","Clark Gable","1901-2-1","male","http://dbpedia.org/resource/San_Francisco_(1936_film)"
"http://dbpedia.org/resource/Dustin_Hoffman","Dustin Hoffman",1937-08-08,"male","http://dbpedia.org/resource/Midnight_Cowboy"
"http://dbpedia.org/resource/Dustin_Hoffman","Dustin Hoffman","1937-8-8","male","http://dbpedia.org/resource/Midnight_Cowboy"
"http://dbpedia.org/resource/Dustin_Hoffman","Dustin Hoffman",1937-08-08,"male","http://dbpedia.org/resource/The_Graduate"
"http://dbpedia.org/resource/Dustin_Hoffman","Dustin Hoffman","1937-8-8","male","http://dbpedia.org/resource/The_Graduate"
"http://dbpedia.org/resource/Gary_Cooper","Gary Cooper",1901-05-07,"male","http://dbpedia.org/resource/Betrayal_(1929_film)"
"http://dbpedia.org/resource/Gary_Cooper","Gary Cooper","1901-5-7","male","http://dbpedia.org/resource/Betrayal_(1929_film)"
"http://dbpedia.org/resource/Goldie_Hawn","Goldie Hawn",1945-11-21,"female","http://dbpedia.org/resource/Everyone_Says_I_Love_You"
"http://dbpedia.org/resource/Gérard_Depardieu","Gérard Depardieu",1948-12-27,"male","http://dbpedia.org/resource/Green_Card_(film)"
"http://dbpedia.org/resource/Harrison_Ford","Harrison Ford",1942-07-13,"male","http://dbpedia.org/resource/Indiana_Jones_and_the_Last_Crusade"
"http://dbpedia.org/resource/Harrison_Ford","Harrison Ford","1942-7-13","male","http://dbpedia.org/resource/Indiana_Jones_and_the_Last_Crusade"
"http://dbpedia.org/resource/Harrison_Ford","Harrison Ford",1942-07-13,"male","http://dbpedia.org/resource/K-19:_The_Widowmaker"
"http://dbpedia.org/resource/Harrison_Ford","Harrison Ford","1942-7-13","male","http://dbpedia.org/resource/K-19:_The_Widowmaker"
"http://dbpedia.org/resource/Harrison_Ford","Harrison Ford",1942-07-13,"male","http://dbpedia.org/resource/Return_of_the_Jedi"
"http://dbpedia.org/resource/Harrison_Ford","Harrison Ford","1942-7-13","male","http://dbpedia.org/resource/Return_of_the_Jedi"
"http://dbpedia.org/resource/Helen_Hunt","Helen Hunt",1963-06-15,"female","http://dbpedia.org/resource/Cast_Away"
"http://dbpedia.org/resource/Helen_Hunt","Helen Hunt","1963-6-15","female","http://dbpedia.org/resource/Cast_Away"
"http://dbpedia.org/resource/Jean_Reno","Jean Reno",1948-07-30,"male","http://dbpedia.org/resource/French_Kiss_(1995_film)"
"http://dbpedia.org/resource/Jean_Reno","Jean Reno","1948-7-30","male","http://dbpedia.org/resource/French_Kiss_(1995_film)"
"http://dbpedia.org/resource/Jean_Reno","Jean Reno",1948-07-30,"male","http://dbpedia.org/resource/Léon:_The_Professional"
"http://dbpedia.org/resource/Jean_Reno","Jean Reno","1948-7-30","male","http://dbpedia.org/resource/Léon:_The_Professional"
"http://dbpedia.org/resource/Jeff_Bridges","Jeff Bridges",1949-12-04,"male","http://dbpedia.org/resource/The_Big_Lebowski"
"http://dbpedia.org/resource/Jeff_Bridges","Jeff Bridges","1949-12-4","male","http://dbpedia.org/resource/The_Big_Lebowski"
"http://dbpedia.org/resource/Jeff_Bridges","Jeff Bridges",1949-12-04,"male","http://dbpedia.org/resource/Bad_Company_(1972_film)"
"http://dbpedia.org/resource/Jeff_Bridges","Jeff Bridges","1949-12-4","male","http://dbpedia.org/resource/Bad_Company_(1972_film)"
"http://dbpedia.org/resource/Jeff_Bridges","Jeff Bridges",1949-12-04,"male","http://dbpedia.org/resource/Blown_Away_(1994_film)"
"http://dbpedia.org/resource/Jeff_Bridges","Jeff Bridges","1949-12-4","male","http://dbpedia.org/resource/Blown_Away_(1994_film)"
"http://dbpedia.org/resource/Joan_Crawford","Joan Crawford","1904-3-23","female","http://dbpedia.org/resource/Grand_Hotel_(1932_film)"
"http://dbpedia.org/resource/Joan_Crawford","Joan Crawford","1904-3-23","female","http://dbpedia.org/resource/The_Hollywood_Revue_of_1929"
"http://dbpedia.org/resource/John_Paul_Jones_(musician)","John Paul Jones",1946-01-03,"male","http://dbpedia.org/resource/The_Song_Remains_the_Same_(film)"
"http://dbpedia.org/resource/John_Paul_Jones_(musician)","John Paul Jones","1946-1-3","male","http://dbpedia.org/resource/The_Song_Remains_the_Same_(film)"
"http://dbpedia.org/resource/John_Travolta","John Travolta",1954-02-18,"male","http://dbpedia.org/resource/Saturday_Night_Fever"
"http://dbpedia.org/resource/John_Travolta","John Travolta","1954-2-18","male","http://dbpedia.org/resource/Saturday_Night_Fever"
"http://dbpedia.org/resource/Kate_Winslet","Kate Winslet",1975-10-05,"female","http://dbpedia.org/resource/Titanic_(1997_film)"
"http://dbpedia.org/resource/Kate_Winslet","Kate Winslet","1975-10-5","female","http://dbpedia.org/resource/Titanic_(1997_film)"
"http://dbpedia.org/resource/Kate_Winslet","(CBE)",1975-10-05,"female","http://dbpedia.org/resource/Titanic_(1997_film)"
"http://dbpedia.org/resource/Kate_Winslet","(CBE)","1975-10-5","female","http://dbpedia.org/resource/Titanic_(1997_film)"
"http://dbpedia.org/resource/Kenneth_Williams","Kenneth Williams",1926-02-22,"male","http://dbpedia.org/resource/Carry_On_(franchise)"
"http://dbpedia.org/resource/Kenneth_Williams","Kenneth Williams","1926-2-22","male","http://dbpedia.org/resource/Carry_On_(franchise)"
"http://dbpedia.org/resource/Leonardo_DiCaprio","Leonardo DiCaprio",1974-11-11,"male","http://dbpedia.org/resource/Titanic_(1997_film)"
