"m","mname","bdate","sexo","f"
"http://dbpedia.org/resource/Clint_Eastwood","Clint Eastwood",1930-05-31,"male","http://dbpedia.org/resource/Mystic_River_(film)"
"http://dbpedia.org/resource/Clint_Eastwood","Clint Eastwood","1930-5-31","male","http://dbpedia.org/resource/Mystic_River_(film)"
"http://dbpedia.org/resource/Cole_Porter","Cole Porter","1891-6-9","male","http://dbpedia.org/resource/High_Society_(1956_film)"
"http://dbpedia.org/resource/Frederick_Loewe","Frederick Loewe","1901-6-10","male","http://dbpedia.org/resource/Gigi_(1958_film)"
"http://dbpedia.org/resource/Henry_Mancini","Henry Mancini",1924-04-16,"male","http://dbpedia.org/resource/Breakfast_at_Tiffany's_(film)"
"http://dbpedia.org/resource/Henry_Mancini","Henry Mancini","1924-4-16","male","http://dbpedia.org/resource/Breakfast_at_Tiffany's_(film)"
"http://dbpedia.org/resource/Henry_Mancini","Henry Mancini",1924-04-16,"male","http://dbpedia.org/resource/Arabesque_(1966_film)"
"http://dbpedia.org/resource/Henry_Mancini","Henry Mancini","1924-4-16","male","http://dbpedia.org/resource/Arabesque_(1966_film)"
"http://dbpedia.org/resource/Henry_Mancini","Henry Mancini",1924-04-16,"male","http://dbpedia.org/resource/Imitation_of_Life_(1959_film)"
"http://dbpedia.org/resource/Henry_Mancini","Henry Mancini","1924-4-16","male","http://dbpedia.org/resource/Imitation_of_Life_(1959_film)"
"http://dbpedia.org/resource/Irving_Berlin","Irving Berlin",1888-05-11,"male","http://dbpedia.org/resource/Carefree_(film)"
"http://dbpedia.org/resource/Irving_Berlin","Irving Berlin","1888-5-11","male","http://dbpedia.org/resource/Carefree_(film)"
"http://dbpedia.org/resource/Kenneth_Williams","Kenneth Williams",1926-02-22,"male","http://dbpedia.org/resource/Carry_On_(franchise)"
"http://dbpedia.org/resource/Kenneth_Williams","Kenneth Williams","1926-2-22","male","http://dbpedia.org/resource/Carry_On_(franchise)"
"http://dbpedia.org/resource/Kurt_Weill","Kurt Weill","1900-3-2","male","http://dbpedia.org/resource/Mack_the_Knife_(film)"
"http://dbpedia.org/resource/Stephen_Sondheim","Stephen Sondheim",1930-03-22,"male","http://dbpedia.org/resource/Reds_(film)"
"http://dbpedia.org/resource/Stephen_Sondheim","Stephen Sondheim","1930-3-22","male","http://dbpedia.org/resource/Reds_(film)"
"http://dbpedia.org/resource/Trevor_Jones_(composer)","Trevor Jones",1949-03-23,"male","http://dbpedia.org/resource/Arachnophobia_(film)"
"http://dbpedia.org/resource/Trevor_Jones_(composer)","Trevor Jones","1949-3-23","male","http://dbpedia.org/resource/Arachnophobia_(film)"
"http://dbpedia.org/resource/Trevor_Jones_(composer)","Trevor Jones",1949-03-23,"male","http://dbpedia.org/resource/Chaos_(2005_Capitol_film)"
"http://dbpedia.org/resource/Trevor_Jones_(composer)","Trevor Jones","1949-3-23","male","http://dbpedia.org/resource/Chaos_(2005_Capitol_film)"
"http://dbpedia.org/resource/Trevor_Jones_(composer)","Trevor Jones",1949-03-23,"male","http://dbpedia.org/resource/Crossroads_(2002_film)"
"http://dbpedia.org/resource/Trevor_Jones_(composer)","Trevor Jones","1949-3-23","male","http://dbpedia.org/resource/Crossroads_(2002_film)"
"http://dbpedia.org/resource/Renzo_Rossellini_(composer)","Renzo Rossellini","1908-2-2","male","http://dbpedia.org/resource/L'Amore_(film)"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri",1950-03-26,"male","http://dbpedia.org/resource/Cast_Away"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri","1950-3-26","male","http://dbpedia.org/resource/Cast_Away"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri",1950-03-26,"male","http://dbpedia.org/resource/Forrest_Gump"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri","1950-3-26","male","http://dbpedia.org/resource/Forrest_Gump"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri",1950-03-26,"male","http://dbpedia.org/resource/Blown_Away_(1994_film)"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri","1950-3-26","male","http://dbpedia.org/resource/Blown_Away_(1994_film)"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri",1950-03-26,"male","http://dbpedia.org/resource/Super_Mario_Bros._(film)"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri","1950-3-26","male","http://dbpedia.org/resource/Super_Mario_Bros._(film)"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri",1950-03-26,"male","http://dbpedia.org/resource/Critical_Condition_(film)"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri","1950-3-26","male","http://dbpedia.org/resource/Critical_Condition_(film)"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri",1950-03-26,"male","http://dbpedia.org/resource/Downtown_(film)"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri","1950-3-26","male","http://dbpedia.org/resource/Downtown_(film)"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri",1950-03-26,"male","http://dbpedia.org/resource/Holy_Man"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri","1950-3-26","male","http://dbpedia.org/resource/Holy_Man"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri",1950-03-26,"male","http://dbpedia.org/resource/Sidekicks_(1992_film)"
"http://dbpedia.org/resource/Alan_Silvestri","Alan Silvestri","1950-3-26","male","http://dbpedia.org/resource/Sidekicks_(1992_film)"
"http://dbpedia.org/resource/Andrea_Guerra_(composer)","Andrea Guerra",1961-10-22,"male","http://dbpedia.org/resource/Dada's_Dance"
"http://dbpedia.org/resource/Frank_Fitzpatrick","Frank Fitzpatrick","1961-4-13","male","http://dbpedia.org/resource/Bad_Company_(1995_film)"
"http://dbpedia.org/resource/Roy_Webb","Roy Webb","1888-10-3","male","http://dbpedia.org/resource/Crossfire_(film)"
"http://dbpedia.org/resource/Roy_Webb","Roy Webb","1888-10-3","male","http://dbpedia.org/resource/Back_to_Bataan"
"http://dbpedia.org/resource/Roy_Webb","Roy Webb","1888-10-3","male","http://dbpedia.org/resource/Laddie_(1935_film)"
"http://dbpedia.org/resource/Roy_Webb","Roy Webb","1888-10-3","male","http://dbpedia.org/resource/Laddie_(1940_film)"
"http://dbpedia.org/resource/Will_Schaefer","Will Schaefer",1928-11-23,"male","http://dbpedia.org/resource/Nikki,_Wild_Dog_of_the_North"
"http://dbpedia.org/resource/Nathan_Barr","Nathan Barr",1973-02-09,"male","http://dbpedia.org/resource/Red_Dirt_(film)"
"http://dbpedia.org/resource/Nathan_Barr","Nathan Barr","1973-2-9","male","http://dbpedia.org/resource/Red_Dirt_(film)"
"http://dbpedia.org/resource/Ram_Sampath","Ram Sampath","1977-1-1","male","http://dbpedia.org/resource/Raman_Raghav_2.0"
