"w","writer","bdate","sexo","f"
"http://dbpedia.org/resource/Arnold_Bennett","Arnold Bennett",1867-05-27,"male","http://dbpedia.org/resource/Piccadilly_(film)"
"http://dbpedia.org/resource/Arnold_Bennett","Arnold Bennett","1867-5-27","male","http://dbpedia.org/resource/Piccadilly_(film)"
"http://dbpedia.org/resource/Billy_Wilder","Billy Wilder",1906-06-22,"male","http://dbpedia.org/resource/The_Apartment"
"http://dbpedia.org/resource/Billy_Wilder","Billy Wilder","1906-6-22","male","http://dbpedia.org/resource/The_Apartment"
"http://dbpedia.org/resource/Billy_Wilder","Billy Wilder",1906-06-22,"male","http://dbpedia.org/resource/The_Lost_Weekend_(film)"
"http://dbpedia.org/resource/Billy_Wilder","Billy Wilder","1906-6-22","male","http://dbpedia.org/resource/The_Lost_Weekend_(film)"
"http://dbpedia.org/resource/Elia_Kazan","Elia Kazan",1909-09-07,"male","http://dbpedia.org/resource/Gentleman's_Agreement"
"http://dbpedia.org/resource/Elia_Kazan","Elia Kazan","1909-9-7","male","http://dbpedia.org/resource/Gentleman's_Agreement"
"http://dbpedia.org/resource/Luc_Besson","Luc Besson",1959-03-18,"male","http://dbpedia.org/resource/Léon:_The_Professional"
"http://dbpedia.org/resource/Luc_Besson","Luc Besson","1959-3-18","male","http://dbpedia.org/resource/Léon:_The_Professional"
"http://dbpedia.org/resource/Moss_Hart","Moss Hart",1904-10-24,"male","http://dbpedia.org/resource/Gentleman's_Agreement"
"http://dbpedia.org/resource/Peter_Weir","Peter Weir",1944-08-21,"male","http://dbpedia.org/resource/Green_Card_(film)"
"http://dbpedia.org/resource/Peter_Weir","Peter Weir","1944-8-21","male","http://dbpedia.org/resource/Green_Card_(film)"
"http://dbpedia.org/resource/Tod_Browning","Tod Browning",1880-07-12,"male","http://dbpedia.org/resource/The_Blackbird"
"http://dbpedia.org/resource/Tod_Browning","Tod Browning","1880-7-12","male","http://dbpedia.org/resource/The_Blackbird"
"http://dbpedia.org/resource/Vladimir_Nabokov","Vladimir Nabokov","1899-4-10","male","http://dbpedia.org/resource/The_Luzhin_Defence"
"http://dbpedia.org/resource/William_Faulkner","William Faulkner",1897-09-25,"male","http://dbpedia.org/resource/Sanctuary_(1961_film)"
"http://dbpedia.org/resource/William_Faulkner","William Faulkner","1897-9-25","male","http://dbpedia.org/resource/Sanctuary_(1961_film)"
"http://dbpedia.org/resource/William_Goldman","William Goldman",1931-08-12,"male","http://dbpedia.org/resource/The_Princess_Bride_(film)"
"http://dbpedia.org/resource/William_Goldman","William Goldman","1931-8-12","male","http://dbpedia.org/resource/The_Princess_Bride_(film)"
"http://dbpedia.org/resource/William_Shakespeare","William Shakespeare","1564-0-0","male","http://dbpedia.org/resource/As_You_Like_It_(1936_film)"
"http://dbpedia.org/resource/Wim_Wenders","Wim Wenders",1945-08-14,"male","http://dbpedia.org/resource/Until_the_End_of_the_World"
"http://dbpedia.org/resource/Wim_Wenders","Wim Wenders","1945-8-14","male","http://dbpedia.org/resource/Until_the_End_of_the_World"
"http://dbpedia.org/resource/Wim_Wenders","Wim Wenders",1945-08-14,"male","http://dbpedia.org/resource/Wings_of_Desire"
"http://dbpedia.org/resource/Wim_Wenders","Wim Wenders","1945-8-14","male","http://dbpedia.org/resource/Wings_of_Desire"
"http://dbpedia.org/resource/Woody_Allen","Woody Allen",1935-12-01,"male","http://dbpedia.org/resource/Everyone_Says_I_Love_You"
"http://dbpedia.org/resource/Woody_Allen","Woody Allen","1935-12-1","male","http://dbpedia.org/resource/Everyone_Says_I_Love_You"
"http://dbpedia.org/resource/Babaloo_Mandel","Babaloo Mandel",1949-10-13,"male","http://dbpedia.org/resource/Where_the_Heart_Is_(2000_film)"
"http://dbpedia.org/resource/Babaloo_Mandel","Babaloo Mandel",1949-11-13,"male","http://dbpedia.org/resource/Where_the_Heart_Is_(2000_film)"
"http://dbpedia.org/resource/David_Hare_(playwright)","David Hare",1947-06-05,"male","http://dbpedia.org/resource/The_Reader_(2008_film)"
"http://dbpedia.org/resource/David_Hare_(playwright)","David Hare","1947-6-5","male","http://dbpedia.org/resource/The_Reader_(2008_film)"
"http://dbpedia.org/resource/David_Hare_(playwright)","Sir David Hare",1947-06-05,"male","http://dbpedia.org/resource/The_Reader_(2008_film)"
"http://dbpedia.org/resource/David_Hare_(playwright)","Sir David Hare","1947-6-5","male","http://dbpedia.org/resource/The_Reader_(2008_film)"
"http://dbpedia.org/resource/Jim_Vallely","Jim Vallely",1954-08-30,"male","http://dbpedia.org/resource/The_Missing_Link_(film)"
"http://dbpedia.org/resource/Jim_Vallely","Jim Vallely","1954-8-30","male","http://dbpedia.org/resource/The_Missing_Link_(film)"
"http://dbpedia.org/resource/Jim_Vallely","Jim Vallely",1954-08-30,"male","http://dbpedia.org/resource/The_Missing_Link_(film)"
"http://dbpedia.org/resource/Jim_Vallely","Jim Vallely","1954-8-30","male","http://dbpedia.org/resource/The_Missing_Link_(film)"
"http://dbpedia.org/resource/Leon_Uris","Leon Uris",1924-08-03,"male","http://dbpedia.org/resource/Battle_Cry_(film)"
"http://dbpedia.org/resource/Leon_Uris","Leon Uris","1924-8-3","male","http://dbpedia.org/resource/Battle_Cry_(film)"
"http://dbpedia.org/resource/Maher_Sabry","Maher Sabry","1967-4-11","male","http://dbpedia.org/resource/All_My_Life_(2008_film)"
"http://dbpedia.org/resource/Matthew_Chapman_(author)","Matthew Chapman","1950-9-2","male","http://dbpedia.org/resource/Consenting_Adults_(1992_film)"
"http://dbpedia.org/resource/Nanni_Moretti","Nanni Moretti",1953-08-19,"male","http://dbpedia.org/resource/April_(1998_film)"
"http://dbpedia.org/resource/Nanni_Moretti","Nanni Moretti","1953-8-19","male","http://dbpedia.org/resource/April_(1998_film)"
"http://dbpedia.org/resource/Rajiv_Joseph","Rajiv Joseph",1974-06-16,"male","http://dbpedia.org/resource/Army_of_One_(2016_film)"
"http://dbpedia.org/resource/Rajiv_Joseph","Rajiv Joseph","1974-6-16","male","http://dbpedia.org/resource/Army_of_One_(2016_film)"
"http://dbpedia.org/resource/Thomas_Meehan_(writer)","Thomas Meehan","1929-8-14","male","http://dbpedia.org/resource/To_Be_or_Not_to_Be_(1983_film)"
"http://dbpedia.org/resource/William_Archer_(critic)","William Archer","1856-9-23","male","http://dbpedia.org/resource/The_Green_Goddess_(1923_film)"
"http://dbpedia.org/resource/Oliver_Stone","Oliver Stone",1946-09-15,"male","http://dbpedia.org/resource/Wall_Street_(1987_film)"
"http://dbpedia.org/resource/Oliver_Stone","Oliver Stone","1946-9-15","male","http://dbpedia.org/resource/Wall_Street_(1987_film)"
"http://dbpedia.org/resource/David_Zucker_(filmmaker)","David Zucker",1947-10-16,"male","http://dbpedia.org/resource/BASEketball"
"http://dbpedia.org/resource/Fernanda_Torres","Fernanda Torres",1965-09-15,"female","http://dbpedia.org/resource/Redeemer_(2004_film)"
"http://dbpedia.org/resource/Fernanda_Torres","Fernanda Torres","1965-9-15","female","http://dbpedia.org/resource/Redeemer_(2004_film)"
"http://dbpedia.org/resource/Fernanda_Torres","Fernanda Torres",1965-09-15,"female","http://dbpedia.org/resource/Redeemer_(2004_film)"
"http://dbpedia.org/resource/Fernanda_Torres","Fernanda Torres","1965-9-15","female","http://dbpedia.org/resource/Redeemer_(2004_film)"
"http://dbpedia.org/resource/Jan_Hřebejk","Jan Hřebejk","1967-6-27","male","http://dbpedia.org/resource/Divided_We_Fall_(film)"
