"f","fname","dir","music","writer","country","lang"
"http://dbpedia.org/resource/12_Monkeys","12 Monkeys","http://dbpedia.org/resource/Terry_Gilliam","http://dbpedia.org/resource/Paul_Buckmaster","http://dbpedia.org/resource/David_Peoples","United States","English"
"http://dbpedia.org/resource/12_Monkeys","12 Monkeys","http://dbpedia.org/resource/Terry_Gilliam","http://dbpedia.org/resource/Paul_Buckmaster","http://dbpedia.org/resource/Janet_Peoples","United States","English"
"http://dbpedia.org/resource/12_Monkeys","12 Monkeys","http://dbpedia.org/resource/Terry_Gilliam","http://dbpedia.org/resource/Paul_Buckmaster","http://dbpedia.org/resource/David_Peoples","United States","French"
"http://dbpedia.org/resource/12_Monkeys","12 Monkeys","http://dbpedia.org/resource/Terry_Gilliam","http://dbpedia.org/resource/Paul_Buckmaster","http://dbpedia.org/resource/Janet_Peoples","United States","French"
"http://dbpedia.org/resource/American_Beauty_(1999_film)","American Beauty","http://dbpedia.org/resource/Sam_Mendes","http://dbpedia.org/resource/Thomas_Newman","http://dbpedia.org/resource/Alan_Ball_(screenwriter)","United States","English"
"http://dbpedia.org/resource/Animal_Crackers_(1930_film)","Animal Crackers","http://dbpedia.org/resource/Victor_Heerman","http://dbpedia.org/resource/Bert_Kalmar","http://dbpedia.org/resource/Bert_Kalmar","United States","English"
"http://dbpedia.org/resource/Animal_Crackers_(1930_film)","Animal Crackers","http://dbpedia.org/resource/Victor_Heerman","http://dbpedia.org/resource/Bert_Kalmar","http://dbpedia.org/resource/Harry_Ruby","United States","English"
"http://dbpedia.org/resource/Animal_Crackers_(1930_film)","Animal Crackers","http://dbpedia.org/resource/Victor_Heerman","http://dbpedia.org/resource/Bert_Kalmar","http://dbpedia.org/resource/George_S._Kaufman","United States","English"
"http://dbpedia.org/resource/Animal_Crackers_(1930_film)","Animal Crackers","http://dbpedia.org/resource/Victor_Heerman","http://dbpedia.org/resource/Harry_Ruby","http://dbpedia.org/resource/Bert_Kalmar","United States","English"
"http://dbpedia.org/resource/Animal_Crackers_(1930_film)","Animal Crackers","http://dbpedia.org/resource/Victor_Heerman","http://dbpedia.org/resource/Harry_Ruby","http://dbpedia.org/resource/Harry_Ruby","United States","English"
